# KERISE v6 Build: Jan 28 2024 00:51:04 Comment: pwm: 0.080000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
9.870000e+02	1.355400e+04	1.433200e+04	-3.305861e+01	3.495617e+01
1.999000e+03	1.342900e+04	1.445400e+04	-3.275373e+01	3.525373e+01
3.001000e+03	1.330500e+04	1.457500e+04	-3.245129e+01	3.554885e+01
4.000000e+03	1.318100e+04	1.469600e+04	-3.214885e+01	3.584398e+01
5.001000e+03	1.305500e+04	1.481800e+04	-3.184153e+01	3.614154e+01
6.001000e+03	1.292900e+04	1.494000e+04	-3.153421e+01	3.643910e+01
7.001000e+03	1.280100e+04	1.506200e+04	-3.122202e+01	3.673666e+01
8.001000e+03	1.267400e+04	1.518500e+04	-3.091226e+01	3.703666e+01
9.001000e+03	1.254600e+04	1.530700e+04	-3.060007e+01	3.733422e+01
1.000100e+04	1.241800e+04	1.543000e+04	-3.028787e+01	3.763422e+01
1.100000e+04	1.229000e+04	1.555200e+04	-2.997567e+01	3.793179e+01
1.200100e+04	1.216200e+04	1.567400e+04	-2.966348e+01	3.822935e+01
1.300100e+04	1.203400e+04	1.579600e+04	-2.935128e+01	3.852691e+01
1.399800e+04	1.190600e+04	1.591700e+04	-2.903909e+01	3.882203e+01
1.499800e+04	1.177900e+04	1.603800e+04	-2.872933e+01	3.911716e+01
1.600100e+04	1.165300e+04	1.616000e+04	-2.842201e+01	3.941472e+01
1.700100e+04	1.152800e+04	1.628200e+04	-2.811713e+01	3.971228e+01
1.800100e+04	1.140300e+04	1.640300e+04	-2.781225e+01	4.000740e+01
1.900100e+04	1.127700e+04	1.652400e+04	-2.750494e+01	4.030252e+01
1.999900e+04	1.115100e+04	1.664500e+04	-2.719762e+01	4.059764e+01
2.100000e+04	1.102600e+04	1.676700e+04	-2.689274e+01	4.089521e+01
2.199700e+04	1.090000e+04	1.688800e+04	-2.658542e+01	4.119033e+01
2.300100e+04	1.077600e+04	1.701000e+04	-2.628298e+01	4.148789e+01
2.399800e+04	1.065100e+04	1.713100e+04	-2.597810e+01	4.178302e+01
2.500000e+04	1.052800e+04	1.725300e+04	-2.567810e+01	4.208058e+01
2.600100e+04	1.040500e+04	1.737600e+04	-2.537810e+01	4.238058e+01
2.699900e+04	1.028300e+04	1.749800e+04	-2.508054e+01	4.267814e+01
2.799900e+04	1.016200e+04	1.762100e+04	-2.478542e+01	4.297814e+01
2.900100e+04	1.004100e+04	1.774500e+04	-2.449030e+01	4.328058e+01
2.999600e+04	9.919000e+03	1.786900e+04	-2.419273e+01	4.358302e+01
3.098900e+04	9.800000e+03	1.799400e+04	-2.390249e+01	4.388790e+01
3.199700e+04	9.680000e+03	1.812000e+04	-2.360981e+01	4.419521e+01
3.300000e+04	9.562000e+03	1.824500e+04	-2.332200e+01	4.450010e+01
3.400000e+04	9.443000e+03	1.837200e+04	-2.303176e+01	4.480985e+01
3.499900e+04	9.325000e+03	1.849900e+04	-2.274395e+01	4.511961e+01
3.600100e+04	9.207000e+03	1.862600e+04	-2.245614e+01	4.542936e+01
3.700100e+04	9.088000e+03	1.875300e+04	-2.216590e+01	4.573912e+01
3.799900e+04	8.970000e+03	1.888000e+04	-2.187810e+01	4.604888e+01
3.900100e+04	8.851000e+03	1.900700e+04	-2.158785e+01	4.635863e+01
3.999900e+04	8.733000e+03	1.913500e+04	-2.130005e+01	4.667083e+01
4.100000e+04	8.616000e+03	1.926200e+04	-2.101468e+01	4.698059e+01
4.199700e+04	8.499000e+03	1.938900e+04	-2.072931e+01	4.729034e+01
4.300100e+04	8.383000e+03	1.951600e+04	-2.044638e+01	4.760010e+01
