# KERISE v6 Build: Jan 28 2024 00:51:04 Comment: pwm: 0.100000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
9.880000e+02	4.387000e+03	2.022000e+03	-1.070002e+01	4.931718e+00
2.000000e+03	4.204000e+03	2.225000e+03	-1.025368e+01	5.426841e+00
2.996000e+03	4.021000e+03	2.428000e+03	-9.807338e+00	5.921964e+00
4.001000e+03	3.838000e+03	2.630000e+03	-9.360995e+00	6.414648e+00
4.995000e+03	3.657000e+03	2.832000e+03	-8.919531e+00	6.907331e+00
5.999000e+03	3.477000e+03	3.034000e+03	-8.480506e+00	7.400015e+00
6.991000e+03	3.299000e+03	3.236000e+03	-8.046358e+00	7.892700e+00
7.997000e+03	3.123000e+03	3.438000e+03	-7.617089e+00	8.385384e+00
9.001000e+03	2.946000e+03	3.640000e+03	-7.185381e+00	8.878067e+00
9.998000e+03	2.775000e+03	3.841000e+03	-6.768307e+00	9.368313e+00
1.099800e+04	2.601000e+03	4.042000e+03	-6.343916e+00	9.858558e+00
1.199700e+04	2.428000e+03	4.244000e+03	-5.921964e+00	1.035124e+01
1.299800e+04	2.254000e+03	4.445000e+03	-5.497572e+00	1.084149e+01
1.399800e+04	2.080000e+03	4.647000e+03	-5.073181e+00	1.133417e+01
1.499900e+04	1.906000e+03	4.850000e+03	-4.648790e+00	1.182929e+01
1.599700e+04	1.732000e+03	5.052000e+03	-4.224399e+00	1.232198e+01
1.699900e+04	1.559000e+03	5.256000e+03	-3.802447e+00	1.281954e+01
1.799800e+04	1.386000e+03	5.460000e+03	-3.380495e+00	1.331710e+01
1.899700e+04	1.213000e+03	5.665000e+03	-2.958543e+00	1.381710e+01
1.999800e+04	1.040000e+03	5.870000e+03	-2.536591e+00	1.431710e+01
2.100000e+04	8.670000e+02	6.075000e+03	-2.114639e+00	1.481710e+01
2.199700e+04	6.930000e+02	6.280000e+03	-1.690247e+00	1.531711e+01
2.299900e+04	5.180000e+02	6.486000e+03	-1.263417e+00	1.581955e+01
2.399800e+04	3.420000e+02	6.693000e+03	-8.341481e-01	1.632442e+01
