# KERISE v6 Build: Jan 28 2024 02:20:36 Comment: pwm: 0.070000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
9.550000e+02	1.278000e+03	1.510000e+04	-2.477175e+00	3.727944e+01
1.957000e+03	1.223000e+03	1.518200e+04	-2.329296e+00	3.747996e+01
2.957000e+03	1.168000e+03	1.526400e+04	-2.181707e+00	3.768003e+01
3.961000e+03	1.113000e+03	1.534500e+04	-2.034415e+00	3.787723e+01
4.946000e+03	1.059000e+03	1.542400e+04	-1.890096e+00	3.806914e+01
5.935000e+03	1.005000e+03	1.550200e+04	-1.746073e+00	3.825821e+01
6.952000e+03	9.490000e+02	1.558100e+04	-1.597036e+00	3.844930e+01
7.959000e+03	8.950000e+02	1.565800e+04	-1.453636e+00	3.863516e+01
8.953000e+03	8.400000e+02	1.573300e+04	-1.307901e+00	3.881582e+01
9.959000e+03	7.850000e+02	1.580800e+04	-1.162495e+00	3.899611e+01
1.095200e+04	7.290000e+02	1.588200e+04	-1.014790e+00	3.917364e+01
1.195900e+04	6.730000e+02	1.595500e+04	-8.674369e-01	3.934842e+01
1.295300e+04	6.170000e+02	1.602700e+04	-7.204407e-01	3.952048e+01
1.395900e+04	5.600000e+02	1.609900e+04	-5.711911e-01	3.969221e+01
1.495200e+04	5.040000e+02	1.617100e+04	-4.249296e-01	3.986362e+01
1.596000e+04	4.470000e+02	1.624300e+04	-2.764373e-01	4.003471e+01
1.695200e+04	3.900000e+02	1.631400e+04	-1.283339e-01	4.020311e+01
1.794400e+04	3.330000e+02	1.638400e+04	1.937663e-02	4.036883e+01
1.894300e+04	2.750000e+02	1.645500e+04	1.692704e-01	4.053662e+01
1.995700e+04	2.150000e+02	1.652700e+04	3.238957e-01	4.070647e+01
2.095500e+04	1.560000e+02	1.659900e+04	4.755058e-01	4.087602e+01
2.195700e+04	9.600000e+01	1.667000e+04	6.292363e-01	4.104292e+01
2.295500e+04	3.600000e+01	1.674200e+04	7.825097e-01	4.121189e+01
2.395500e+04	-2.500000e+01	1.681300e+04	9.378664e-01	4.137822e+01
2.495500e+04	-8.600000e+01	1.688600e+04	1.092740e+00	4.154895e+01
2.595700e+04	-1.490000e+02	1.695900e+04	1.252187e+00	4.171940e+01
2.695400e+04	-2.110000e+02	1.703200e+04	1.408597e+00	4.188957e+01
2.795500e+04	-2.740000e+02	1.710600e+04	1.567010e+00	4.206179e+01
