# KERISE v6 Build: Jan 28 2024 02:20:36 Comment: pwm: 0.070000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
9.870000e+02	4.214000e+03	3.028000e+03	-1.059655e+01	7.371635e+00
1.992000e+03	4.164000e+03	3.098000e+03	-1.045804e+01	7.530280e+00
2.973000e+03	4.117000e+03	3.165000e+03	-1.032773e+01	7.682143e+00
3.989000e+03	4.064000e+03	3.235000e+03	-1.018068e+01	7.840833e+00
4.987000e+03	4.014000e+03	3.303000e+03	-1.004186e+01	7.995022e+00
5.989000e+03	3.965000e+03	3.371000e+03	-9.905715e+00	8.149253e+00
7.002000e+03	3.917000e+03	3.437000e+03	-9.772272e+00	8.298995e+00
7.992000e+03	3.869000e+03	3.503000e+03	-9.638755e+00	8.448791e+00
8.989000e+03	3.821000e+03	3.568000e+03	-9.505169e+00	8.596376e+00
9.991000e+03	3.773000e+03	3.633000e+03	-9.371521e+00	8.744028e+00
1.099000e+04	3.726000e+03	3.696000e+03	-9.240601e+00	8.887205e+00
1.199200e+04	3.680000e+03	3.759000e+03	-9.112418e+00	9.030457e+00
1.298800e+04	3.634000e+03	3.823000e+03	-8.984193e+00	9.176066e+00
1.398800e+04	3.589000e+03	3.885000e+03	-8.858720e+00	9.317209e+00
1.498600e+04	3.544000e+03	3.947000e+03	-8.733214e+00	9.458443e+00
1.599200e+04	3.500000e+03	4.009000e+03	-8.610473e+00	9.599771e+00
1.698600e+04	3.457000e+03	4.070000e+03	-8.490499e+00	9.738917e+00
1.800600e+04	3.414000e+03	4.131000e+03	-8.370511e+00	9.878167e+00
1.898700e+04	3.373000e+03	4.192000e+03	-8.256092e+00	1.001753e+01
1.999100e+04	3.333000e+03	4.253000e+03	-8.144457e+00	1.015700e+01
2.098700e+04	3.292000e+03	4.316000e+03	-8.030027e+00	1.030116e+01
2.199100e+04	3.252000e+03	4.378000e+03	-7.918388e+00	1.044317e+01
2.298600e+04	3.213000e+03	4.441000e+03	-7.809543e+00	1.058761e+01
2.399100e+04	3.174000e+03	4.504000e+03	-7.700705e+00	1.073218e+01
2.499300e+04	3.134000e+03	4.568000e+03	-7.589085e+00	1.087921e+01
2.599200e+04	3.094000e+03	4.631000e+03	-7.477477e+00	1.102409e+01
2.700000e+04	3.053000e+03	4.695000e+03	-7.363097e+00	1.117143e+01
2.799100e+04	3.013000e+03	4.759000e+03	-7.251525e+00	1.131894e+01
2.899200e+04	2.972000e+03	4.824000e+03	-7.137189e+00	1.146894e+01
2.998800e+04	2.931000e+03	4.890000e+03	-7.022880e+00	1.162143e+01
3.099100e+04	2.889000e+03	4.956000e+03	-6.905816e+00	1.177411e+01
3.199300e+04	2.848000e+03	5.023000e+03	-6.791574e+00	1.192931e+01
3.299000e+04	2.807000e+03	5.091000e+03	-6.677370e+00	1.208705e+01
3.399000e+04	2.765000e+03	5.158000e+03	-6.560423e+00	1.224269e+01
3.498900e+04	2.723000e+03	5.226000e+03	-6.443524e+00	1.240088e+01
3.599400e+04	2.680000e+03	5.293000e+03	-6.323896e+00	1.255697e+01
3.698900e+04	2.638000e+03	5.360000e+03	-6.207106e+00	1.271330e+01
3.799000e+04	2.595000e+03	5.426000e+03	-6.087595e+00	1.286752e+01
3.898600e+04	2.552000e+03	5.492000e+03	-5.968151e+00	1.302198e+01
4.000200e+04	2.507000e+03	5.557000e+03	-5.843225e+00	1.317434e+01
4.099100e+04	2.464000e+03	5.621000e+03	-5.723927e+00	1.332458e+01
4.199200e+04	2.420000e+03	5.684000e+03	-5.601936e+00	1.347269e+01
4.298700e+04	2.375000e+03	5.747000e+03	-5.477259e+00	1.362104e+01
4.399100e+04	2.329000e+03	5.810000e+03	-5.349911e+00	1.376962e+01
4.498900e+04	2.283000e+03	5.873000e+03	-5.222664e+00	1.391843e+01
4.599400e+04	2.235000e+03	5.937000e+03	-5.090000e+00	1.406985e+01
4.700200e+04	2.186000e+03	6.003000e+03	-4.954699e+00	1.422625e+01
4.799000e+04	2.137000e+03	6.068000e+03	-4.819530e+00	1.438055e+01
4.899300e+04	2.087000e+03	6.134000e+03	-4.681746e+00	1.453749e+01
4.998800e+04	2.037000e+03	6.200000e+03	-4.544113e+00	1.469470e+01
5.099000e+04	1.985000e+03	6.267000e+03	-4.401139e+00	1.485457e+01
5.199000e+04	1.934000e+03	6.333000e+03	-4.261085e+00	1.501233e+01
5.298900e+04	1.882000e+03	6.398000e+03	-4.118464e+00	1.516798e+01
5.399000e+04	1.829000e+03	6.464000e+03	-3.973294e+00	1.532629e+01
5.500000e+04	1.775000e+03	6.529000e+03	-3.825592e+00	1.548249e+01
5.599100e+04	1.722000e+03	6.593000e+03	-3.680835e+00	1.563655e+01
5.698800e+04	1.668000e+03	6.656000e+03	-3.533568e+00	1.578846e+01
5.799000e+04	1.612000e+03	6.718000e+03	-3.381088e+00	1.593821e+01
5.898600e+04	1.558000e+03	6.779000e+03	-3.234295e+00	1.608580e+01
6.000000e+04	1.502000e+03	6.839000e+03	-3.082321e+00	1.623121e+01
6.099000e+04	1.447000e+03	6.898000e+03	-2.933322e+00	1.637442e+01
6.199100e+04	1.390000e+03	6.956000e+03	-2.779185e+00	1.651543e+01
6.298700e+04	1.332000e+03	7.013000e+03	-2.622643e+00	1.665423e+01
6.399300e+04	1.273000e+03	7.069000e+03	-2.463719e+00	1.679081e+01
6.498900e+04	1.215000e+03	7.124000e+03	-2.307810e+00	1.692514e+01
6.599200e+04	1.154000e+03	7.179000e+03	-2.144186e+00	1.705968e+01
6.699000e+04	1.094000e+03	7.234000e+03	-1.983603e+00	1.719442e+01
6.799000e+04	1.033000e+03	7.289000e+03	-1.820714e+00	1.732935e+01
6.899000e+04	9.710000e+02	7.343000e+03	-1.655548e+00	1.746203e+01
6.998800e+04	9.090000e+02	7.397000e+03	-1.490784e+00	1.759490e+01
7.100300e+04	8.470000e+02	7.451000e+03	-1.326431e+00	1.772796e+01
7.198900e+04	7.850000e+02	7.504000e+03	-1.162495e+00	1.785874e+01
7.299100e+04	7.230000e+02	7.556000e+03	-9.989854e-01	1.798724e+01
7.399100e+04	6.620000e+02	7.607000e+03	-8.385343e-01	1.811343e+01
7.498800e+04	6.000000e+02	7.658000e+03	-6.758883e-01	1.823979e+01
7.599400e+04	5.380000e+02	7.709000e+03	-5.136871e-01	1.836632e+01
7.698900e+04	4.760000e+02	7.759000e+03	-3.519377e-01	1.849053e+01
7.798800e+04	4.150000e+02	7.809000e+03	-1.932433e-01	1.861490e+01
7.898700e+04	3.510000e+02	7.859000e+03	-2.722608e-02	1.873943e+01
8.000400e+04	2.870000e+02	7.909000e+03	1.382918e-01	1.886412e+01
8.098700e+04	2.230000e+02	7.959000e+03	3.033048e-01	1.898896e+01
8.199200e+04	1.580000e+02	8.010000e+03	4.703737e-01	1.911646e+01
8.298700e+04	9.200000e+01	8.060000e+03	6.394688e-01	1.924162e+01
8.400500e+04	2.400000e+01	8.111000e+03	8.131092e-01	1.936943e+01
8.498700e+04	-4.400000e+01	8.162000e+03	9.861563e-01	1.949741e+01
8.599200e+04	-1.130000e+02	8.214000e+03	1.161138e+00	1.962805e+01
8.698700e+04	-1.820000e+02	8.265000e+03	1.335500e+00	1.975634e+01
8.799200e+04	-2.530000e+02	8.316000e+03	1.514263e+00	1.988479e+01
8.898800e+04	-3.220000e+02	8.368000e+03	1.687356e+00	2.001591e+01
8.999000e+04	-3.920000e+02	8.419000e+03	1.862309e+00	2.014466e+01
9.099300e+04	-4.620000e+02	8.470000e+03	2.036611e+00	2.027356e+01
9.198800e+04	-5.300000e+02	8.521000e+03	2.205304e+00	2.040260e+01
9.299000e+04	-6.010000e+02	8.572000e+03	2.380776e+00	2.053180e+01
9.398800e+04	-6.700000e+02	8.623000e+03	2.550658e+00	2.066113e+01
9.499000e+04	-7.390000e+02	8.675000e+03	2.719897e+00	2.079315e+01
9.598800e+04	-8.080000e+02	8.726000e+03	2.888494e+00	2.092277e+01
9.700300e+04	-8.780000e+02	8.779000e+03	3.058877e+00	2.105762e+01
9.798900e+04	-9.460000e+02	8.831000e+03	3.223761e+00	2.119007e+01
9.898900e+04	-1.016000e+03	8.884000e+03	3.392840e+00	2.132520e+01
9.998900e+04	-1.088000e+03	8.938000e+03	3.566066e+00	2.146304e+01
1.009880e+05	-1.159000e+03	8.993000e+03	3.736202e+00	2.160357e+01
1.019940e+05	-1.232000e+03	9.047000e+03	3.910429e+00	2.174169e+01
1.029870e+05	-1.303000e+03	9.101000e+03	4.079201e+00	2.187995e+01
1.040040e+05	-1.375000e+03	9.155000e+03	4.249668e+00	2.201835e+01
1.049870e+05	-1.445000e+03	9.210000e+03	4.414746e+00	2.215944e+01
