# KERISE v6 Build: Jan 28 2024 22:06:38 Comment: pwm: 0.080000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
5.370000e+02	2.620000e+02	1.254600e+04	-1.997904e-01	3.070857e+01
1.537000e+03	1.170000e+02	1.268700e+04	1.637889e-01	3.106111e+01
2.537000e+03	-2.800000e+01	1.283000e+04	5.259801e-01	3.141829e+01
3.537000e+03	-1.740000e+02	1.297200e+04	8.892382e-01	3.177261e+01
4.537000e+03	-3.200000e+02	1.311500e+04	1.251041e+00	3.212901e+01
5.537000e+03	-4.650000e+02	1.325700e+04	1.608907e+00	3.248251e+01
6.537000e+03	-6.100000e+02	1.340100e+04	1.965303e+00	3.284054e+01
7.537000e+03	-7.550000e+02	1.354500e+04	2.320225e+00	3.319809e+01
8.537000e+03	-9.030000e+02	1.369000e+04	2.680963e+00	3.355763e+01
9.537000e+03	-1.050000e+03	1.383500e+04	3.037737e+00	3.391665e+01
1.053700e+04	-1.200000e+03	1.398100e+04	3.400231e+00	3.427761e+01
1.153700e+04	-1.352000e+03	1.412800e+04	3.765962e+00	3.464048e+01
1.253700e+04	-1.505000e+03	1.427500e+04	4.132493e+00	3.500277e+01
1.353700e+04	-1.660000e+03	1.442300e+04	4.502191e+00	3.536692e+01
1.453700e+04	-1.815000e+03	1.457200e+04	4.870292e+00	3.573293e+01
1.553700e+04	-1.971000e+03	1.472200e+04	5.239183e+00	3.610076e+01
1.653700e+04	-2.127000e+03	1.487200e+04	5.606531e+00	3.646795e+01
1.753700e+04	-2.283000e+03	1.502300e+04	5.972381e+00	3.683694e+01
1.853700e+04	-2.439000e+03	1.517500e+04	6.336784e+00	3.720771e+01
1.953700e+04	-2.595000e+03	1.532700e+04	6.699797e+00	3.757782e+01
2.053700e+04	-2.751000e+03	1.548000e+04	7.061488e+00	3.794969e+01
2.153700e+04	-2.907000e+03	1.563300e+04	7.421919e+00	3.832090e+01
2.253700e+04	-3.063000e+03	1.578700e+04	7.781164e+00	3.869387e+01
2.354600e+04	-3.219000e+03	1.594000e+04	8.139297e+00	3.906376e+01
2.454100e+04	-3.377000e+03	1.609500e+04	8.500971e+00	3.943784e+01
2.554600e+04	-3.536000e+03	1.625100e+04	8.863955e+00	3.981368e+01
2.655300e+04	-3.694000e+03	1.640500e+04	9.223776e+00	4.018408e+01
2.753700e+04	-3.853000e+03	1.656000e+04	9.585079e+00	4.055629e+01
2.853700e+04	-4.014000e+03	1.671500e+04	9.950218e+00	4.092791e+01
2.953700e+04	-4.176000e+03	1.687100e+04	1.031701e+01	4.130135e+01
3.053700e+04	-4.338000e+03	1.702700e+04	1.068329e+01	4.167425e+01
3.153700e+04	-4.500000e+03	1.718200e+04	1.104918e+01	4.204425e+01
3.253700e+04	-4.662000e+03	1.733900e+04	1.141479e+01	4.241853e+01
3.353700e+04	-4.825000e+03	1.749500e+04	1.178248e+01	4.278996e+01
3.453700e+04	-4.988000e+03	1.765100e+04	1.215011e+01	4.316096e+01
3.553700e+04	-5.150000e+03	1.780800e+04	1.251555e+01	4.353396e+01
3.653700e+04	-5.314000e+03	1.796500e+04	1.288568e+01	4.390659e+01
3.753700e+04	-5.477000e+03	1.812200e+04	1.325385e+01	4.427889e+01
3.853700e+04	-5.639000e+03	1.827900e+04	1.362016e+01	4.465091e+01
3.953700e+04	-5.800000e+03	1.843600e+04	1.398473e+01	4.502268e+01
4.053700e+04	-5.961000e+03	1.859300e+04	1.434990e+01	4.539425e+01
4.153700e+04	-6.121000e+03	1.875000e+04	1.471353e+01	4.576565e+01
4.253700e+04	-6.282000e+03	1.890700e+04	1.508025e+01	4.613693e+01
4.353700e+04	-6.443000e+03	1.906300e+04	1.544789e+01	4.650577e+01
4.453700e+04	-6.605000e+03	1.922000e+04	1.581884e+01	4.687693e+01
4.553700e+04	-6.767000e+03	1.937600e+04	1.619091e+01	4.724573e+01
4.653700e+04	-6.928000e+03	1.953200e+04	1.656188e+01	4.761458e+01
4.753700e+04	-7.088000e+03	1.968800e+04	1.693182e+01	4.798351e+01
4.853700e+04	-7.249000e+03	1.984500e+04	1.730542e+01	4.835494e+01
4.953700e+04	-7.408000e+03	2.000100e+04	1.767579e+01	4.872418e+01
5.053700e+04	-7.567000e+03	2.015700e+04	1.804761e+01	4.909362e+01
5.154800e+04	-7.724000e+03	2.031400e+04	1.841625e+01	4.946569e+01
5.254700e+04	-7.882000e+03	2.047000e+04	1.878878e+01	4.983568e+01
5.354800e+04	-8.039000e+03	2.062800e+04	1.916054e+01	5.021075e+01
5.454600e+04	-8.195000e+03	2.078400e+04	1.953153e+01	5.058143e+01
5.553700e+04	-8.350000e+03	2.094000e+04	1.990176e+01	5.095251e+01
5.653700e+04	-8.506000e+03	2.109800e+04	2.027604e+01	5.132878e+01
5.753700e+04	-8.663000e+03	2.125600e+04	2.065441e+01	5.170554e+01
5.853700e+04	-8.820000e+03	2.141500e+04	2.103451e+01	5.208519e+01
5.953700e+04	-8.977000e+03	2.157500e+04	2.141634e+01	5.246778e+01
6.053700e+04	-9.135000e+03	2.173600e+04	2.180235e+01	5.285335e+01
6.153700e+04	-9.291000e+03	2.189600e+04	2.218519e+01	5.323714e+01
6.253700e+04	-9.446000e+03	2.205700e+04	2.256727e+01	5.362395e+01
6.353700e+04	-9.600000e+03	2.221700e+04	2.294853e+01	5.400903e+01
6.453700e+04	-9.753000e+03	2.237800e+04	2.332893e+01	5.439719e+01
6.553700e+04	-9.904000e+03	2.253700e+04	2.370591e+01	5.478121e+01
6.653700e+04	-1.005400e+04	2.269700e+04	2.408188e+01	5.516835e+01
6.753700e+04	-1.020200e+04	2.285500e+04	2.445427e+01	5.555135e+01
6.853700e+04	-1.035100e+04	2.301300e+04	2.483056e+01	5.593506e+01
6.953700e+04	-1.049900e+04	2.317000e+04	2.520568e+01	5.631705e+01
7.053700e+04	-1.064900e+04	2.332500e+04	2.558718e+01	5.669487e+01
7.153700e+04	-1.079800e+04	2.347900e+04	2.596741e+01	5.707093e+01
7.253700e+04	-1.094700e+04	2.363300e+04	2.634883e+01	5.744767e+01
7.353700e+04	-1.109500e+04	2.378700e+04	2.672884e+01	5.782509e+01
7.453700e+04	-1.124200e+04	2.394100e+04	2.710734e+01	5.820319e+01
7.553700e+04	-1.138600e+04	2.409500e+04	2.747908e+01	5.858194e+01
7.653700e+04	-1.153000e+04	2.424800e+04	2.785170e+01	5.895887e+01
7.753700e+04	-1.167300e+04	2.440100e+04	2.822255e+01	5.933643e+01
7.853700e+04	-1.181600e+04	2.455500e+04	2.859415e+01	5.971708e+01
7.954400e+04	-1.195800e+04	2.470900e+04	2.896382e+01	6.009834e+01
8.054400e+04	-1.210100e+04	2.486200e+04	2.933670e+01	6.047770e+01
8.154500e+04	-1.224400e+04	2.501600e+04	2.971012e+01	6.086010e+01
8.254400e+04	-1.238400e+04	2.516700e+04	3.007615e+01	6.123557e+01
8.353700e+04	-1.252400e+04	2.531800e+04	3.044254e+01	6.161154e+01
8.453700e+04	-1.266500e+04	2.546900e+04	3.081186e+01	6.198798e+01
8.553700e+04	-1.280400e+04	2.561800e+04	3.117617e+01	6.235986e+01
8.653700e+04	-1.294400e+04	2.576600e+04	3.154325e+01	6.272965e+01
8.753700e+04	-1.308200e+04	2.591300e+04	3.190516e+01	6.309730e+01
8.853700e+04	-1.322100e+04	2.605900e+04	3.226970e+01	6.346279e+01
8.953700e+04	-1.335800e+04	2.620400e+04	3.262893e+01	6.382606e+01
9.053700e+04	-1.349500e+04	2.634900e+04	3.298803e+01	6.418961e+01
9.153700e+04	-1.363200e+04	2.649300e+04	3.334693e+01	6.455087e+01
9.253700e+04	-1.376900e+04	2.663700e+04	3.370555e+01	6.491234e+01
9.353700e+04	-1.390500e+04	2.678100e+04	3.406123e+01	6.527399e+01
9.453700e+04	-1.404200e+04	2.692500e+04	3.441911e+01	6.563577e+01
9.553700e+04	-1.418000e+04	2.706900e+04	3.477913e+01	6.599766e+01
9.653700e+04	-1.432000e+04	2.721300e+04	3.514382e+01	6.635963e+01
9.753700e+04	-1.446000e+04	2.735600e+04	3.550788e+01	6.671912e+01
9.853700e+04	-1.460100e+04	2.749900e+04	3.587384e+01	6.707862e+01
9.953700e+04	-1.474100e+04	2.764100e+04	3.623645e+01	6.743558e+01
1.005370e+05	-1.488200e+04	2.778300e+04	3.660083e+01	6.779249e+01
1.015370e+05	-1.502300e+04	2.792500e+04	3.696432e+01	6.814931e+01
1.025370e+05	-1.516400e+04	2.806600e+04	3.732687e+01	6.850351e+01
1.035370e+05	-1.530400e+04	2.820700e+04	3.768586e+01	6.885756e+01
1.045370e+05	-1.544400e+04	2.834800e+04	3.804382e+01	6.921143e+01
1.055370e+05	-1.558500e+04	2.848800e+04	3.840323e+01	6.956259e+01
1.065370e+05	-1.572600e+04	2.862900e+04	3.876151e+01	6.991603e+01
1.075450e+05	-1.586600e+04	2.877000e+04	3.911607e+01	7.026921e+01
1.085430e+05	-1.600800e+04	2.891200e+04	3.947446e+01	7.062460e+01
1.095440e+05	-1.615000e+04	2.905400e+04	3.983158e+01	7.097968e+01
1.105530e+05	-1.629300e+04	2.919600e+04	4.018990e+01	7.133441e+01
1.115370e+05	-1.643600e+04	2.933900e+04	4.054686e+01	7.169127e+01
1.125370e+05	-1.658100e+04	2.948200e+04	4.090739e+01	7.204773e+01
1.135370e+05	-1.672800e+04	2.962700e+04	4.127144e+01	7.240874e+01
1.145370e+05	-1.687600e+04	2.977200e+04	4.163644e+01	7.276929e+01
1.155370e+05	-1.702500e+04	2.991700e+04	4.200237e+01	7.312937e+01
1.165370e+05	-1.717600e+04	3.006300e+04	4.237161e+01	7.349142e+01
1.175370e+05	-1.732800e+04	3.021000e+04	4.274168e+01	7.385545e+01
1.185370e+05	-1.748200e+04	3.035800e+04	4.311496e+01	7.422137e+01
1.195370e+05	-1.763500e+04	3.050500e+04	4.348418e+01	7.458427e+01
1.205370e+05	-1.778900e+04	3.065400e+04	4.385417e+01	7.495151e+01
1.215370e+05	-1.794300e+04	3.080200e+04	4.422253e+01	7.531569e+01
1.225370e+05	-1.809700e+04	3.095100e+04	4.458930e+01	7.568172e+01
1.235370e+05	-1.825100e+04	3.110000e+04	4.495449e+01	7.604712e+01
1.245370e+05	-1.840600e+04	3.125000e+04	4.532050e+01	7.641434e+01
1.255370e+05	-1.856100e+04	3.139900e+04	4.568501e+01	7.677847e+01
1.265370e+05	-1.871600e+04	3.155000e+04	4.604805e+01	7.714684e+01
1.275370e+05	-1.887100e+04	3.170000e+04	4.640968e+01	7.751212e+01
1.285370e+05	-1.902900e+04	3.185100e+04	4.677693e+01	7.787918e+01
1.295370e+05	-1.918600e+04	3.200200e+04	4.714051e+01	7.824560e+01
1.305370e+05	-1.934500e+04	3.215400e+04	4.750747e+01	7.861379e+01
1.315370e+05	-1.950500e+04	3.230700e+04	4.787550e+01	7.898375e+01
1.325370e+05	-1.966600e+04	3.246000e+04	4.824469e+01	7.935308e+01
1.335370e+05	-1.982700e+04	3.261400e+04	4.861282e+01	7.972419e+01
1.345370e+05	-1.999000e+04	3.276800e+04	4.898454e+01	8.009467e+01
1.355450e+05	-2.015200e+04	3.292300e+04	4.935308e+01	8.046696e+01
1.365460e+05	-2.031500e+04	3.307800e+04	4.972312e+01	8.083865e+01
1.375480e+05	-2.048000e+04	3.323500e+04	5.009701e+01	8.121457e+01
1.385530e+05	-2.064200e+04	3.339000e+04	5.046353e+01	8.158514e+01
1.395370e+05	-2.080500e+04	3.354600e+04	5.083186e+01	8.195760e+01
1.405370e+05	-2.096900e+04	3.370200e+04	5.120210e+01	8.232954e+01
1.415370e+05	-2.113200e+04	3.385800e+04	5.156986e+01	8.270104e+01
1.425370e+05	-2.129600e+04	3.401500e+04	5.193976e+01	8.307448e+01
1.435370e+05	-2.145800e+04	3.417100e+04	5.230515e+01	8.344514e+01
1.445370e+05	-2.162000e+04	3.432700e+04	5.267067e+01	8.381544e+01
1.455370e+05	-2.178200e+04	3.448300e+04	5.303643e+01	8.418542e+01
1.465370e+05	-2.194400e+04	3.463900e+04	5.340253e+01	8.455511e+01
1.475370e+05	-2.210700e+04	3.479500e+04	5.377136e+01	8.492455e+01
1.485370e+05	-2.227100e+04	3.495100e+04	5.414304e+01	8.529379e+01
1.495370e+05	-2.243400e+04	3.510700e+04	5.451314e+01	8.566284e+01
1.505370e+05	-2.259700e+04	3.526200e+04	5.488403e+01	8.602941e+01
1.515370e+05	-2.275900e+04	3.541800e+04	5.525356e+01	8.639827e+01
1.525370e+05	-2.292200e+04	3.557400e+04	5.562635e+01	8.676707e+01
1.535370e+05	-2.308400e+04	3.573000e+04	5.599794e+01	8.713586e+01
1.545370e+05	-2.324500e+04	3.588600e+04	5.636841e+01	8.750470e+01
1.555370e+05	-2.340500e+04	3.604200e+04	5.673781e+01	8.787361e+01
1.565370e+05	-2.356500e+04	3.619900e+04	5.710852e+01	8.824501e+01
1.575370e+05	-2.372400e+04	3.635500e+04	5.747828e+01	8.861422e+01
1.585370e+05	-2.388400e+04	3.651100e+04	5.785181e+01	8.898362e+01
1.595370e+05	-2.404300e+04	3.666800e+04	5.822450e+01	8.935564e+01
1.605370e+05	-2.420300e+04	3.682600e+04	5.860111e+01	8.973032e+01
1.615370e+05	-2.436200e+04	3.698300e+04	5.897696e+01	9.010294e+01
1.625500e+05	-2.452200e+04	3.714200e+04	5.935685e+01	9.048067e+01
1.635460e+05	-2.468000e+04	3.730000e+04	5.973365e+01	9.085645e+01
1.645440e+05	-2.483800e+04	3.745800e+04	6.011216e+01	9.123266e+01
1.655520e+05	-2.499400e+04	3.761600e+04	6.048755e+01	9.160934e+01
1.665370e+05	-2.515100e+04	3.777400e+04	6.086706e+01	9.198652e+01
1.675370e+05	-2.530600e+04	3.793300e+04	6.124343e+01	9.236664e+01
1.685370e+05	-2.546000e+04	3.809200e+04	6.161906e+01	9.274731e+01
1.695370e+05	-2.561200e+04	3.825000e+04	6.199144e+01	9.312619e+01
1.705370e+05	-2.576400e+04	3.840800e+04	6.236543e+01	9.350568e+01
1.715370e+05	-2.591600e+04	3.856600e+04	6.274104e+01	9.388579e+01
1.725370e+05	-2.606700e+04	3.872400e+04	6.311576e+01	9.426656e+01
1.735370e+05	-2.622000e+04	3.888100e+04	6.349701e+01	9.464558e+01
1.745370e+05	-2.637200e+04	3.903800e+04	6.387733e+01	9.502529e+01
1.755370e+05	-2.652400e+04	3.919500e+04	6.425916e+01	9.540568e+01
1.765370e+05	-2.667500e+04	3.935300e+04	6.463993e+01	9.578920e+01
1.775370e+05	-2.682400e+04	3.951100e+04	6.501704e+01	9.617342e+01
1.785370e+05	-2.697100e+04	3.966800e+04	6.539040e+01	9.655592e+01
1.795370e+05	-2.711600e+04	3.982700e+04	6.575990e+01	9.694402e+01
1.805370e+05	-2.726200e+04	3.998400e+04	6.613311e+01	9.732795e+01
1.815370e+05	-2.740900e+04	4.014200e+04	6.651003e+01	9.771503e+01
1.825370e+05	-2.755600e+04	4.030000e+04	6.688804e+01	9.810281e+01
1.835370e+05	-2.770300e+04	4.045700e+04	6.726706e+01	9.848885e+01
1.845370e+05	-2.784900e+04	4.061300e+04	6.764445e+01	9.887309e+01
1.855370e+05	-2.799500e+04	4.076800e+04	6.802273e+01	9.925551e+01
1.865370e+05	-2.813900e+04	4.092200e+04	6.839661e+01	9.963609e+01
1.875370e+05	-2.828200e+04	4.107500e+04	6.876861e+01	1.000148e+02
1.885440e+05	-2.842400e+04	4.122800e+04	6.913863e+01	1.003941e+02
1.895520e+05	-2.856500e+04	4.137900e+04	6.950661e+01	1.007690e+02
1.905530e+05	-2.870300e+04	4.152800e+04	6.986721e+01	1.011394e+02
1.915520e+05	-2.884100e+04	4.167700e+04	7.022822e+01	1.015103e+02
1.925370e+05	-2.897900e+04	4.182500e+04	7.058954e+01	1.018792e+02
1.935370e+05	-2.911700e+04	4.197200e+04	7.095112e+01	1.022460e+02
1.945370e+05	-2.925600e+04	4.212000e+04	7.131551e+01	1.026157e+02
1.955370e+05	-2.939400e+04	4.226700e+04	7.167739e+01	1.029833e+02
1.965370e+05	-2.953200e+04	4.241300e+04	7.203931e+01	1.033487e+02
1.975370e+05	-2.967000e+04	4.256000e+04	7.240121e+01	1.037169e+02
1.985370e+05	-2.980800e+04	4.270500e+04	7.276301e+01	1.040804e+02
1.995370e+05	-2.994500e+04	4.285000e+04	7.312202e+01	1.044442e+02
2.005370e+05	-3.008200e+04	4.299500e+04	7.348080e+01	1.048081e+02
2.015370e+05	-3.021800e+04	4.313800e+04	7.383665e+01	1.051672e+02
2.025370e+05	-3.035400e+04	4.328200e+04	7.419214e+01	1.055290e+02
2.035370e+05	-3.049000e+04	4.342500e+04	7.454720e+01	1.058883e+02
2.045370e+05	-3.062700e+04	4.357000e+04	7.490437e+01	1.062528e+02
2.055370e+05	-3.076400e+04	4.371500e+04	7.526099e+01	1.066173e+02
2.065370e+05	-3.090200e+04	4.386000e+04	7.561957e+01	1.069819e+02
2.075370e+05	-3.104200e+04	4.400500e+04	7.598263e+01	1.073464e+02
2.085370e+05	-3.118200e+04	4.415100e+04	7.634492e+01	1.077133e+02
2.095370e+05	-3.132200e+04	4.429600e+04	7.670636e+01	1.080777e+02
2.105370e+05	-3.146200e+04	4.444100e+04	7.706692e+01	1.084420e+02
2.115370e+05	-3.160200e+04	4.458600e+04	7.742651e+01	1.088061e+02
2.125370e+05	-3.174100e+04	4.473100e+04	7.778255e+01	1.091700e+02
2.135370e+05	-3.187900e+04	4.487500e+04	7.813501e+01	1.095312e+02
2.145450e+05	-3.201900e+04	4.501900e+04	7.849148e+01	1.098921e+02
2.155520e+05	-3.216000e+04	4.516400e+04	7.884933e+01	1.102553e+02
2.165530e+05	-3.230100e+04	4.530600e+04	7.920599e+01	1.106107e+02
2.175420e+05	-3.244500e+04	4.544900e+04	7.956896e+01	1.109682e+02
2.185370e+05	-3.258800e+04	4.559000e+04	7.992811e+01	1.113204e+02
2.195370e+05	-3.273400e+04	4.573200e+04	8.029340e+01	1.116748e+02
2.205370e+05	-3.288100e+04	4.587300e+04	8.065977e+01	1.120262e+02
2.215370e+05	-3.302900e+04	4.601500e+04	8.102713e+01	1.123798e+02
2.225370e+05	-3.317900e+04	4.615600e+04	8.139793e+01	1.127304e+02
2.235370e+05	-3.333000e+04	4.629800e+04	8.176961e+01	1.130830e+02
2.245370e+05	-3.348000e+04	4.643900e+04	8.213725e+01	1.134327e+02
2.255370e+05	-3.363300e+04	4.658100e+04	8.251060e+01	1.137843e+02
2.265370e+05	-3.378500e+04	4.672400e+04	8.287990e+01	1.141380e+02
2.275370e+05	-3.393900e+04	4.686700e+04	8.325239e+01	1.144911e+02
2.285370e+05	-3.409300e+04	4.701200e+04	8.362323e+01	1.148485e+02
2.295370e+05	-3.424700e+04	4.715900e+04	8.399244e+01	1.152104e+02
2.305370e+05	-3.439900e+04	4.730700e+04	8.435526e+01	1.155740e+02
2.315370e+05	-3.455200e+04	4.745600e+04	8.471892e+01	1.159396e+02
2.325370e+05	-3.470500e+04	4.760700e+04	8.508104e+01	1.163093e+02
2.335370e+05	-3.486000e+04	4.775900e+04	8.544637e+01	1.166809e+02
2.345370e+05	-3.501500e+04	4.791200e+04	8.581020e+01	1.170543e+02
2.355370e+05	-3.517100e+04	4.806600e+04	8.617493e+01	1.174294e+02
2.365370e+05	-3.532900e+04	4.822000e+04	8.654292e+01	1.178038e+02
2.375370e+05	-3.548800e+04	4.837600e+04	8.691183e+01	1.181824e+02
2.385370e+05	-3.564900e+04	4.853200e+04	8.728405e+01	1.185603e+02
2.395370e+05	-3.581000e+04	4.868900e+04	8.765498e+01	1.189400e+02
2.405450e+05	-3.597300e+04	4.884500e+04	8.802932e+01	1.193166e+02
2.415460e+05	-3.613600e+04	4.900200e+04	8.840251e+01	1.196949e+02
2.425520e+05	-3.630100e+04	4.915800e+04	8.877924e+01	1.200702e+02
2.435520e+05	-3.646500e+04	4.931300e+04	8.915273e+01	1.204424e+02
2.445370e+05	-3.662900e+04	4.946900e+04	8.952536e+01	1.208165e+02
2.455370e+05	-3.679200e+04	4.962500e+04	8.989500e+01	1.211900e+02
2.465370e+05	-3.695400e+04	4.978000e+04	9.026176e+01	1.215605e+02
2.475370e+05	-3.711500e+04	4.993600e+04	9.062576e+01	1.219330e+02
2.485370e+05	-3.727600e+04	5.009100e+04	9.098936e+01	1.223025e+02
2.495370e+05	-3.743600e+04	5.024500e+04	9.135044e+01	1.226692e+02
2.505370e+05	-3.759700e+04	5.040000e+04	9.171362e+01	1.230379e+02
2.515370e+05	-3.776100e+04	5.055500e+04	9.208350e+01	1.234062e+02
2.525370e+05	-3.792500e+04	5.070900e+04	9.245346e+01	1.237718e+02
2.535370e+05	-3.809100e+04	5.086400e+04	9.282812e+01	1.241394e+02
2.545370e+05	-3.825600e+04	5.101700e+04	9.320082e+01	1.245020e+02
2.555370e+05	-3.842200e+04	5.117200e+04	9.357623e+01	1.248690e+02
2.565370e+05	-3.858800e+04	5.132600e+04	9.395217e+01	1.252336e+02
2.575370e+05	-3.875300e+04	5.148000e+04	9.432652e+01	1.255979e+02
2.585370e+05	-3.891700e+04	5.163400e+04	9.469936e+01	1.259621e+02
2.595370e+05	-3.908100e+04	5.178800e+04	9.507308e+01	1.263262e+02
2.605370e+05	-3.924300e+04	5.194200e+04	9.544320e+01	1.266903e+02
