1600042,783703
1600331,783780
1600481,783857
1600633,783937
1600791,784016
1600948,784094
1601105,784167
1601275,784250
1601275,784327
1601442,784406
1601803,784485
1601803,784564
1602173,784640
1602368,784727
1602564,784808
1602765,784890
1602976,784972
1603186,785053
1603186,785134
1603622,785216
1603841,785295
1603841,785382
1604289,785468
1604289,785552
1604728,785633
1604957,785724
1605184,785810
1605413,785897
1605647,785984
1605880,786072
1605880,786160
1606343,786249
1606572,786340
1606800,786425
1607036,786521
1607256,786606
1607256,786702
1607706,786793
1607928,786885
1608149,786979
1608373,787074
1608592,787168
1608802,787256
1608802,787359
1609224,787454
1609417,787542
1609417,787641
1609793,787734
1609972,787826
1610147,787912
1610324,788007
1610496,788096
1610668,788184
1610836,788271
1610994,788357
1611157,788444
1611157,788529
1611462,788610
1611612,788699
1611612,788792
1611904,788880
1612045,788967
1612183,789052
1612320,789135
1612455,789219
1612589,789299
1612589,789380
1612853,789461
1612853,789540
1613110,789615
1613237,789694
1613361,789771
1613486,789853
1613608,789930
1613729,790009
1613848,790088
1613965,790170
1614082,790252
1614202,790336
1614202,790422
1614438,790508
1614555,790592
1614676,790676
1614797,790760
1614917,790844
1615038,790929
1615160,791013
1615285,791098
1615408,791176
1615535,791260
1615665,791344
1615801,791432
1615801,791516
1616073,791602
1616211,791687
1616350,791775
1616491,791864
1616635,791953
1616782,792043
1616932,792134
1617085,792219
1617245,792314
1617411,792404
1617573,792486
1617749,792578
1617918,792661
1618095,792748
1618278,792842
1618463,792932
1618653,793021
1618848,793109
1619048,793196
1619256,793284
1619466,793371
1619672,793455
1619892,793551
1619892,793643
1620321,793729
1620548,793827
1620548,793920
1620991,794005
1620991,794101
1621450,794190
1621682,794277
1621916,794365
1622148,794449
1622148,794535
1622610,794620
1622610,794705
1622837,794791
1623307,794880
1623307,794969
1623534,795062
1623998,795157
1624225,795253
1624450,795350
1624675,795450
1624892,795547
1625100,795638
1625311,795741
1625509,795830
1625709,795924
1625908,796023
1625908,796114
1626293,796205
1626481,796295
1626664,796384
1626844,796474
1627021,796565
1627195,796655
1627195,796746
1627528,796837
1627687,796929
1627843,797015
1627996,797109
1627996,797205
1628296,797297
1628440,797386
1628583,797477
1628724,797566
1628865,797653
1629001,797739
1629001,797824
1629263,797903
1629395,797990
1629395,798073
1629644,798154
1629644,798235
1629885,798310
1630008,798394
1630129,798472
1630249,798547
1630372,798622
1630491,798696
1630609,798765
1630734,798844
1630852,798913
1630852,798992
1631096,799063
1631218,799140
1631343,799221
1631465,799297
1631587,799371
1631713,799445
1631843,799519
1631973,799593
1631973,799667
1632241,799741
1632241,799741
1632517,799894
1632517,799973
1632790,800051
1632933,800129
1633077,800206
1633224,800283
1633373,800360
1633530,800438
1633690,800517
1633690,800597
1634024,800676
1634024,800754
1634377,800827
1634568,800910
1634568,800986
1634753,801064
1635148,801142
1635349,801220
1635556,801300
1635770,801381
1635986,801463
1635986,801544
1636203,801628
1636661,801712
1636661,801796
1637130,801883
1637362,801964
1637362,802056
1637847,802143
1638092,802232
1638336,802320
1638583,802410
1638829,802499
1639064,802582
1639064,802677
1639555,802768
1639555,802859
1640031,802946
1640274,803046
1640274,803141
1640734,803233
1640965,803333
1641189,803430
1641411,803526
1641630,803619
1641839,803712
1642053,803807
1642053,803901
1642460,803988
1642665,804088
1642665,804180
1642859,804274
1643235,804364
1643417,804456
1643594,804549
1643770,804641
1643938,804731
1643938,804821
1644262,804910
1644262,804994
1644575,805077
1644725,805155
1644878,805241
1645025,805322
1645170,805401
1645310,805480
1645448,805559
1645584,805637
1645714,805714
1645714,805792
1645966,805864
1646097,805948
1646097,806026
1646218,806108
1646469,806191
1646590,806270
1646714,806359
1646838,806443
1646961,806524
1647086,806607
1647209,806686
1647333,806770
1647457,806854
1647585,806942
1647707,807018
1647832,807100
1647960,807187
1648088,807269
1648219,807352
1648351,807435
1648482,807520
1648614,807606
1648747,807687
1648883,807776
1649022,807865
1649167,807960
1649167,808049
1649454,808137
1649604,808224
1649756,808312
1649756,808400
1650066,808486
1650226,808572
1650388,808659
1650557,808746
1650728,808832
1650905,808919
1651086,809005
1651086,809093
1651460,809174
1651653,809263
1651653,809357
1652049,809447
1652251,809538
1652459,809630
1652668,809721
1652888,809811
1653105,809901
1653105,809988
1653324,810076
1653786,810161
1653786,810244
1654252,810323
1654496,810408
1654496,810489
1654732,810571
1655221,810652
1655464,810736
1655709,810823
1655952,810910
1655952,811000
1656427,811093
1656427,811186
1656884,811275
1657114,811378
1657114,811473
1657547,811569
1657761,811660
1657971,811752
1658180,811843
1658389,811933
1658592,812021
1658592,812108
1658984,812197
1659167,812280
1659358,812378
1659536,812464
1659714,812562
1659889,812656
1660059,812752
1660225,812848
1660388,812944
1660550,813037
1660710,813129
1660710,813219
1661014,813302
1661169,813397
1661169,813486
1661311,813575
1661596,813663
1661727,813745
1661861,813838
1661993,813924
1662123,814009
1662253,814092
