# KERISE v6 Build: Jan 28 2024 02:20:36 Comment: pwm: 0.120000
timestamp_us	enc_pulses_0	enc_pulses_1	enc_position_0	enc_position_1
1.008000e+03	1.254800e+04	4.292000e+03	-3.024009e+01	1.024623e+01
2.010000e+03	1.225000e+04	4.596000e+03	-2.961166e+01	1.094358e+01
3.022000e+03	1.194700e+04	4.900000e+03	-2.897625e+01	1.164455e+01
4.009000e+03	1.164700e+04	5.203000e+03	-2.834930e+01	1.234735e+01
5.022000e+03	1.134200e+04	5.509000e+03	-2.771268e+01	1.306181e+01
6.010000e+03	1.104100e+04	5.813000e+03	-2.708376e+01	1.377670e+01
7.023000e+03	1.073700e+04	6.120000e+03	-2.644648e+01	1.450418e+01
8.009000e+03	1.043700e+04	6.426000e+03	-2.581414e+01	1.523511e+01
9.023000e+03	1.013400e+04	6.735000e+03	-2.517068e+01	1.597932e+01
1.000900e+04	9.835000e+03	7.043000e+03	-2.452971e+01	1.672737e+01
1.102200e+04	9.533000e+03	7.353000e+03	-2.387509e+01	1.748662e+01
1.200900e+04	9.234000e+03	7.661000e+03	-2.321874e+01	1.824723e+01
1.300700e+04	8.930000e+03	7.970000e+03	-2.254203e+01	1.901645e+01
1.401000e+04	8.631000e+03	8.278000e+03	-2.186637e+01	1.978907e+01
1.501800e+04	8.323000e+03	8.587000e+03	-2.115917e+01	2.056982e+01
1.600900e+04	8.021000e+03	8.893000e+03	-2.045413e+01	2.134816e+01
1.700700e+04	7.720000e+03	9.198000e+03	-1.973954e+01	2.212865e+01
1.801100e+04	7.416000e+03	9.502000e+03	-1.900554e+01	2.291073e+01
1.900700e+04	7.115000e+03	9.804000e+03	-1.826651e+01	2.369123e+01
2.001000e+04	6.812000e+03	1.010600e+04	-1.751029e+01	2.447468e+01
2.101700e+04	6.509000e+03	1.040600e+04	-1.674199e+01	2.525526e+01
2.201300e+04	6.211000e+03	1.070500e+04	-1.597498e+01	2.603489e+01
2.302000e+04	5.908000e+03	1.100400e+04	-1.518405e+01	2.681551e+01
2.401300e+04	5.611000e+03	1.130000e+04	-1.439864e+01	2.758859e+01
2.500500e+04	5.310000e+03	1.159600e+04	-1.359322e+01	2.836133e+01
2.602300e+04	5.011000e+03	1.189200e+04	-1.278470e+01	2.913305e+01
2.700500e+04	4.713000e+03	1.218700e+04	-1.197152e+01	2.990053e+01
2.802400e+04	4.416000e+03	1.248300e+04	-1.115489e+01	3.066834e+01
2.900500e+04	4.121000e+03	1.277800e+04	-1.033883e+01	3.143072e+01
3.002300e+04	3.827000e+03	1.307300e+04	-9.521871e+00	3.218972e+01
3.101800e+04	3.535000e+03	1.336800e+04	-8.708110e+00	3.294482e+01
3.201200e+04	3.249000e+03	1.366300e+04	-7.910016e+00	3.369558e+01
3.302000e+04	2.961000e+03	1.396000e+04	-7.106518e+00	3.444663e+01
3.401100e+04	2.678000e+03	1.425500e+04	-6.318333e+00	3.518753e+01
3.501900e+04	2.392000e+03	1.455200e+04	-5.524349e+00	3.592803e+01
3.601100e+04	2.109000e+03	1.484700e+04	-4.742353e+00	3.665797e+01
3.701900e+04	1.823000e+03	1.514600e+04	-3.956872e+00	3.739198e+01
3.801100e+04	1.540000e+03	1.544400e+04	-3.185418e+00	3.811766e+01
3.901900e+04	1.253000e+03	1.574400e+04	-2.409921e+00	3.884229e+01
4.001200e+04	9.710000e+02	1.604300e+04	-1.655548e+00	3.955867e+01
4.100700e+04	6.880000e+02	1.634400e+04	-9.068716e-01	4.027417e+01
4.201200e+04	4.080000e+02	1.664500e+04	-1.750610e-01	4.098419e+01
4.300500e+04	1.290000e+02	1.694700e+04	5.447409e-01	4.169140e+01
4.401100e+04	-1.510000e+02	1.724800e+04	1.257241e+00	4.239151e+01
4.501800e+04	-4.320000e+02	1.755100e+04	1.961990e+00	4.309193e+01
4.601200e+04	-7.120000e+02	1.785300e+04	2.653750e+00	4.378621e+01
4.701700e+04	-9.970000e+02	1.815600e+04	3.347013e+00	4.447954e+01
4.800900e+04	-1.279000e+03	1.845700e+04	4.022226e+00	4.516566e+01
4.900700e+04	-1.567000e+03	1.875900e+04	4.700922e+00	4.585208e+01
5.000800e+04	-1.854000e+03	1.906100e+04	5.366606e+00	4.653718e+01
5.100900e+04	-2.137000e+03	1.936200e+04	6.013001e+00	4.721938e+01
5.201000e+04	-2.425000e+03	1.966400e+04	6.661144e+00	4.790393e+01
5.300800e+04	-2.714000e+03	1.996600e+04	7.302395e+00	4.858923e+01
5.402300e+04	-3.005000e+03	2.026800e+04	7.939620e+00	4.927599e+01
5.501000e+04	-3.292000e+03	2.056900e+04	8.560643e+00	4.996259e+01
5.602200e+04	-3.587000e+03	2.087100e+04	9.192286e+00	5.065422e+01
